ons_id,ons_region_id,constituency_name,region_name,country_name,constituency_type,member_first_name,member_surname,member_gender,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ruk,green,snp,pc,dup,sf,sdlp,uup,apni,all_other_candidates,con_pc,lab_pc,ld_pc,ruk_pc,green_pc,snp_pc,pc_pc,dup_pc,sf_pc,sdlp_pc,uup_pc,apni_pc,all_other_candidates_pc
E14001348,E12000008,Maidenhead,South East,England,County,Joshua,Reynolds,Male,LD gain from Con,LD,Con,75687,50329,516,2963,18932,5766,21895,0,1996,0,0,0,0,0,0,0,1740,37.62,11.46,43.5,0,3.97,0,0,0,0,0,0,0,3.46
E14001349,E12000008,Maidstone and Malling,South East,England,County,Helen,Grant,Female,Con hold,Con,Lab,76449,46389,131,1674,14146,12472,6375,9316,3727,0,0,0,0,0,0,0,353,30.49,26.89,13.74,20.08,8.03,0,0,0,0,0,0,0,0.76
E14001350,E12000002,Makerfield,North West,England,Borough,Josh,Simons,Male,Lab hold,Lab,RUK,76641,40263,135,5399,4379,18202,2735,12803,1776,0,0,0,0,0,0,0,368,10.88,45.21,6.79,31.8,4.41,0,0,0,0,0,0,0,0.91
E14001351,E12000006,Maldon,East of England,England,County,John,Whittingdale,Male,Con hold,Con,RUK,78282,49841,199,6906,19374,9817,5882,12468,2300,0,0,0,0,0,0,0,0,38.87,19.7,11.8,25.02,4.61,0,0,0,0,0,0,0,0
E14001352,E12000002,Manchester Central,North West,England,Borough,Lucy,Powell,Female,Lab hold,Lab,Green,85204,39725,181,13797,2823,20184,3051,4760,6387,0,0,0,0,0,0,0,2520,7.11,50.81,7.68,11.98,16.08,0,0,0,0,0,0,0,6.34
E14001353,E12000002,Manchester Rusholme,North West,England,Borough,Afzal,Khan,Male,Lab hold,Lab,Green,72608,29033,193,8235,1678,15054,0,1313,6819,0,0,0,0,0,0,0,4169,5.78,51.85,0,4.52,23.49,0,0,0,0,0,0,0,14.36
E14001354,E12000002,Manchester Withington,North West,England,Borough,Jeff,Smith,Male,Lab hold,Lab,Green,70555,41731,240,13982,2280,22066,5412,1961,8084,0,0,0,0,0,0,0,1928,5.46,52.88,12.97,4.7,19.37,0,0,0,0,0,0,0,4.62
E14001355,E12000004,Mansfield,East Midlands,England,County,Steve,Yemm,Male,Lab gain from Con,Lab,Con,74535,41087,114,3485,12563,16048,799,9385,1326,0,0,0,0,0,0,0,966,30.58,39.06,1.94,22.84,3.23,0,0,0,0,0,0,0,2.35
E14001356,E12000009,Melksham and Devizes,South West,England,County,Brian,Mathew,Male,LD gain from Con,LD,Con,73482,51203,203,2401,17630,4587,20031,6726,2229,0,0,0,0,0,0,0,0,34.43,8.96,39.12,13.14,4.35,0,0,0,0,0,0,0,0
E14001357,E12000004,Melton and Syston,East Midlands,England,County,Edward,Argar,Male,Con hold,Con,Lab,74316,45986,163,5396,17526,12130,2547,8945,3685,0,0,0,0,0,0,0,1153,38.11,26.38,5.54,19.45,8.01,0,0,0,0,0,0,0,2.51
